Inner_Disk,,All_Disk,
X,Y,X,Y
-0.8874843945068662,0.03528561463664737,-0.939740172667763,0.3513349973526966
-0.884599112220835,-0.11714528233702248,-0.9044142126263738,-0.4313849080463692
-0.8665442397340024,0.18072426862987334,-0.8923671799139963,0.45774617821815466
-0.8475850623228899,-0.2740911704923503,-0.8874843945068662,0.03528561463664737
-0.8254920436755642,0.31265790475230015,-0.884599112220835,-0.11714528233702248
-0.7881303262226562,-0.40723216285612085,-0.8665442397340024,0.18072426862987334
-0.7749583853516437,0.4408357075023742,-0.8475850623228899,-0.2740911704923503
-0.7663025384935496,-0.040230609552143415,-0.8470904425024274,-0.5324845153753712
-0.7636756396958195,-0.17423120637139045,-0.8312626082476267,0.5615817548560911
-0.7546765481057172,0.10224662388465944,-0.8254920436755642,0.31265790475230015
-0.7188835513579039,-0.5219049477353954,-0.7881303262226562,-0.40723216285612085
-0.7042689693438755,0.5541100437855602,-0.7781020511259764,-0.6301254486963113
-0.7060934860835719,0.2306571096784531,-0.7749583853516437,0.4408357075023742
-0.6993138106352565,-0.30192290335935335,-0.7663025384935496,-0.040230609552143415
-0.6710882230545151,0.35972568892922885,-0.7636756396958195,-0.17423120637139045
-0.6292928482254323,-0.006188375155926851,-0.7547614093494242,0.6589936884922138
-0.6303123954533955,-0.16090849722638723,-0.7546765481057172,0.10224662388465944
-0.6278089887640448,-0.4206086276882737,-0.7188835513579039,-0.5219049477353954
-0.6220384241919821,-0.6107976367563386,-0.7042689693438755,0.5541100437855602
-0.5987864434163176,0.11351647433549217,-0.7060934860835719,0.2306571096784531
-0.5965655034381624,0.6488849029262008,-0.7043101876622474,-0.7110064675846384
-0.5907949388660997,0.4978524545486198,-0.6993138106352565,-0.30192290335935335
-0.5492791317616262,0.24626894630742258,-0.6738037828531327,0.7428183425754136
-0.5498215057974914,-0.2977096745967127,-0.6710882230545151,0.35972568892922885
-0.5264422331562669,-0.7110746272641117,-0.6292928482254323,-0.006188375155926851
-0.5244334462873786,0.38317966966934525,-0.6303123954533955,-0.16090849722638723
-0.5224961853239004,-0.5059139920496847,-0.6278089887640448,-0.4206086276882737
-0.4970835067277012,-0.13799292371563765,-0.6220384241919821,-0.6107976367563386
-0.4925825969172519,0.7396923986547448,-0.6225330440124446,-0.7831264594686429
-0.47538364742484573,0.5733686787374104,-0.5987864434163176,0.11351647433549217
-0.4720037453183519,0.0017228483305180564,-0.5965655034381624,0.6488849029262008
-0.4447817341849257,0.15494417277154204,-0.5907949388660997,0.4978524545486198
