Irregular,,Inner,
X,Y,X,Y
-0.5518091457433908,0.47819483066407653,-0.5518091457433908,0.47819483066407653
-0.5518091457433908,-0.47858535949104675,-0.5518091457433908,-0.47858535949104675
-0.549238884469536,0.10061982944849768,-0.549238884469536,0.10061982944849768
-0.549238884469536,-0.10101035827546778,-0.549238884469536,-0.10101035827546778
-0.5466686231956811,0.5464586521815975,-0.5466686231956811,0.5464586521815975
-0.5466686231956811,-0.5465528113058866,-0.5466686231956811,-0.5465528113058866
-0.5389578393741166,0.29780447163224855,-0.5389578393741166,0.29780447163224855
-0.5389578393741166,0.2310224986281325,-0.5389578393741166,0.2310224986281325
-0.5389578393741166,-0.23131423755420877,-0.5389578393741166,-0.23131423755420877
-0.5389578393741166,-0.2980962105583249,-0.5389578393741166,-0.2980962105583249
-0.5363875781002617,0.36527797394261996,-0.5363875781002617,0.36527797394261996
-0.5363875781002617,0.16750059235350734,-0.5363875781002617,0.16750059235350734
-0.5363875781002617,-0.16759475147779646,-0.5363875781002617,-0.16759475147779646
-0.5363875781002617,-0.36596487247227105,-0.5363875781002617,-0.36596487247227105
-0.5338173168264069,0.000051710338749177964,-0.5338173168264069,0.000051710338749177964
-0.5209660104571326,0.4242555447761368,-0.5209660104571326,0.4242555447761368
-0.5209660104571326,-0.4252388130084688,-0.5209660104571326,-0.4252388130084688
-0.5183957491832778,0.052509147713283966,-0.5183957491832778,0.052509147713283966
-0.5183957491832778,-0.052800886639360334,-0.5183957491832778,-0.052800886639360334
-0.4952633977185841,0.49380363500527524,-0.4952633977185841,0.49380363500527524
-0.4952633977185841,-0.4937002143277771,-0.4952633977185841,-0.4937002143277771
-0.48755261389701954,0.12264997734778449,-0.48755261389701954,0.12264997734778449
-0.48755261389701954,-0.1227441364720736,-0.48755261389701954,-0.1227441364720736
-0.479841830075455,0.25621392335601645,-0.479841830075455,0.25621392335601645
-0.479841830075455,-0.2563080824803057,-0.479841830075455,-0.2563080824803057
-0.47727156880160015,0.549521139109301,-0.47727156880160015,0.549521139109301
-0.47727156880160015,0.3241813751708563,-0.47727156880160015,0.3241813751708563
-0.47727156880160015,-0.32427553429514555,-0.47727156880160015,-0.32427553429514555
-0.47727156880160015,-0.5498128780353773,-0.47727156880160015,-0.5498128780353773
-0.4747013075277453,0.1943714453965837,-0.4747013075277453,0.1943714453965837
-0.4747013075277453,-0.1951571338271283,-0.4747013075277453,-0.1951571338271283
-0.46699052370618077,0.000051710338749177964,-0.46699052370618077,0.000051710338749177964
-0.4644202624323259,0.38385047531062877,-0.4644202624323259,0.38385047531062877
-0.4644202624323259,-0.3846361637411735,-0.4644202624323259,-0.3846361637411735
-0.4515689560630517,0.06979738036967498,-0.4515689560630517,0.06979738036967498
-0.4515689560630517,-0.0698915394939641,-0.4515689560630517,-0.0698915394939641
-0.4412879109676322,0.4412474077298466,-0.4412879109676322,0.4412474077298466
-0.4412879109676322,-0.4411439870523486,-0.4412879109676322,-0.4411439870523486
-0.4310068658722128,0.14645834346315723,-0.4310068658722128,0.14645834346315723
-0.4310068658722128,-0.14724403189370183,-0.4310068658722128,-0.14724403189370183
-0.4258663433245031,0.5205756981474579,-0.4258663433245031,0.5205756981474579
-0.4258663433245031,-0.5213613865780025,-0.4258663433245031,-0.5213613865780025
-0.4232960820506483,0.27449005502134405,-0.4232960820506483,0.27449005502134405
-0.4232960820506483,-0.27517695355099514,-0.4232960820506483,-0.27517695355099514
-0.41044477568137405,0.3339615753593289,-0.41044477568137405,0.3339615753593289
-0.41044477568137405,-0.33385815468183067,-0.41044477568137405,-0.33385815468183067
-0.4078745144075192,0.21620401349408314,-0.4078745144075192,0.21620401349408314
-0.4078745144075192,-0.21708849182552137,-0.4078745144075192,-0.21708849182552137
-0.40016373058595467,-0.00034344926482554605,-0.38731242421668033,0.3883948107517371
-0.39502320803824487,0.05448494573115714,-0.38731242421668033,-0.3884889698760263
-0.39502320803824487,-0.05457910485544648,-0.3847421629428255,0.46298118592645243
-0.38731242421668033,0.3883948107517371,-0.3847421629428255,-0.4628777652489542
-0.38731242421668033,-0.3884889698760263,-0.36675033402584156,0.5359869226868692
-0.3847421629428255,0.46298118592645243,-0.36675033402584156,-0.5367726111174138
-0.3847421629428255,0.11247461755573718,-0.359039550204277,0.2780464914535159
-0.3847421629428255,-0.11316151608538827,-0.359039550204277,-0.27794307077601776
-0.3847421629428255,-0.4628777652489542,-0.3359071987395833,0.33504826426915935
-0.36675033402584156,0.5359869226868692,-0.3359071987395833,-0.3353400031952356
-0.36675033402584156,-0.5367726111174138,-0.33333693746572846,0.408054001029576
-0.36160981147813187,0.1727364571008715,-0.33333693746572846,-0.408740899559227
-0.36160981147813187,-0.1735221455314162,-0.3230558923703091,0.4771081417542462
-0.359039550204277,0.2780464914535159,-0.3230558923703091,-0.4772023008785353
-0.359039550204277,-0.27794307077601776,-0.29992354090561546,0.5385554601101044
-0.3359071987395833,0.33504826426915935,-0.29992354090561546,-0.5389459889370747
-0.3359071987395833,-0.3353400031952356,-0.27679118944092174,0.3589554202854256
-0.33333693746572846,0.408054001029576,-0.27679118944092174,-0.3590495794097148
-0.33333693746572846,-0.408740899559227,-0.2742209281670669,0.42346522556898747
-0.32819641491801876,0.2282563814031099,-0.2742209281670669,-0.42415212409863856
-0.32819641491801876,-0.2289432799327611,-0.25622909925008297,0.4797754690783751
-0.3230558923703091,0.4771081417542462,-0.25622909925008297,-0.47967204840087696
-0.3230558923703091,-0.4772023008785353,-0.23309674778538936,0.5394445692181473
-0.29992354090561546,0.5385554601101044,-0.23309674778538936,-0.5402302576486921
-0.29992354090561546,-0.5389459889370747,-0.21767518014226028,0.40588062320991536
-0.2845019732624863,0.28259082689462434,-0.21767518014226028,-0.4066663116404603
-0.2845019732624863,-0.2824874062171261,-0.19454282867756656,0.4722674366104568
-0.27679118944092174,0.3589554202854256,-0.19454282867756656,-0.47315191494189524
-0.27679118944092174,-0.3590495794097148,-0.1688402159390181,0.5362832923895502
-0.2742209281670669,0.42346522556898747,-0.1688402159390181,-0.5369701909192013
-0.2742209281670669,-0.42415212409863856,-0.1482781257481791,0.4289974600190325
-0.25622909925008297,0.4797754690783751,-0.1482781257481791,-0.42889403934153414
-0.25622909925008297,-0.47967204840087696,-0.12257551300963065,0.48738229144718714
-0.23309674778538936,0.5394445692181473,-0.12257551300963065,-0.48747645057147637
-0.23309674778538936,-0.5402302576486921,-0.09944316154493715,0.5484344501994707
-0.22795622523767956,0.3282317611074965,-0.09944316154493715,-0.5483310295219723
-0.22795622523767956,-0.32911623943893487,-0.07117028753253374,0.4520155069272559
-0.21767518014226028,0.40588062320991536,-0.07117028753253374,-0.45220845595243864
-0.21767518014226028,-0.4066663116404603,-0.053178458615549706,0.5167228920126049
-0.19454282867756656,0.4722674366104568,-0.053178458615549706,-0.5171134208395751
-0.19454282867756656,-0.47315191494189524,0.0007970281354021669,0.532825645858272
-0.1739807384867278,0.3602396889970432,0.0007970281354021669,0.46604367285415604
-0.1739807384867278,-0.36013626831954504,0.0007970281354021669,-0.4663354117802323
-0.1688402159390181,0.5362832923895502,0.0007970281354021669,-0.5331173847843484
-0.1688402159390181,-0.5369701909192013,0.05220225361249908,0.5167228920126049
-0.1482781257481791,0.4289974600190325,0.05220225361249908,-0.5168170511368941
-0.1482781257481791,-0.42889403934153414,0.07019408252948311,0.45191671702636205
-0.12257551300963065,0.48738229144718714,0.07019408252948311,-0.45220845595243864
-0.12257551300963065,-0.48747645057147637,0.10103721781574126,0.5484344501994707
-0.11229446791421127,0.38315894600437306,0.10103721781574126,-0.5483310295219723
-0.11229446791421127,-0.38325310512866206,0.12416956928043499,0.48738229144718714
-0.09944316154493715,0.5484344501994707,0.12416956928043499,-0.48747645057147637
-0.09944316154493715,-0.5483310295219723,0.1473019207451287,0.4286023004154579
-0.07117028753253374,0.45191671702636205,0.1473019207451287,-0.42928919894510886
-0.07117028753253374,-0.45220845595243864,0.16786401093596748,0.5362832923895502
-0.05574871988940466,0.3961992129223364,0.16786401093596748,-0.5369701909192013
-0.05574871988940466,-0.39609579224483826,0.19356662367451594,0.4726625962140314
-0.053178458615549706,0.5167228920126049,0.19356662367451594,-0.4734482846445762
-0.053178458615549706,-0.5171134208395751,0.21669897513920966,0.40548546360634086
0.0007970281354021669,0.532825645858272,0.21669897513920966,-0.4063699419377793
0.0007970281354021669,0.46604367285415604,0.23212054278233873,0.5390494096145728
0.0007970281354021669,0.3992616998500401,0.23212054278233873,-0.5399338879460112
0.0007970281354021669,-0.3995534387761164,0.25525289424703246,0.4797754690783751
0.0007970281354021669,-0.4663354117802323,0.25525289424703246,-0.47967204840087696
0.0007970281354021669,-0.5331173847843484,0.27324472316401627,0.42386038517256197
0.05220225361249908,0.5167228920126049,0.27324472316401627,-0.4237569644950636
0.05220225361249908,-0.5168170511368941,0.27838524571172596,0.3589554202854256
0.05477251488635404,0.3961992129223364,0.27838524571172596,-0.3590495794097148
0.05477251488635404,-0.39609579224483826,0.29894733590256495,0.5388518298127853
0.07019408252948311,0.45191671702636205,0.29894733590256495,-0.5389459889370747
0.07019408252948311,-0.45220845595243864,0.3246499486411134,0.4771081417542462
0.10103721781574126,0.5484344501994707,0.3246499486411134,-0.4772023008785353
0.10103721781574126,-0.5483310295219723,0.33236073246267783,0.4084491606331506
0.11131826291116065,0.38315894600437306,0.33236073246267783,-0.40834573995565226
0.11131826291116065,-0.3835494748313433,0.3349309937365328,0.33514705417005286
0.12416956928043499,0.48738229144718714,0.3349309937365328,-0.33524121329434187
0.12416956928043499,-0.48747645057147637,0.3580633452012265,0.2780464914535159
0.1473019207451287,0.4286023004154579,0.3580633452012265,-0.27794307077601776
0.1473019207451287,-0.42928919894510886,0.36577412902279094,0.5362832923895502
0.16786401093596748,0.5362832923895502,0.36577412902279094,-0.5371677707209885
0.16786401093596748,-0.5369701909192013,0.38376595793977497,0.46298118592645243
0.17300453348367717,0.3602396889970432,0.38376595793977497,-0.4628777652489542
0.17300453348367717,-0.36013626831954504,0.38890648048748466,0.3883948107517371
0.19356662367451594,0.4726625962140314,0.38890648048748466,-0.3884889698760263
0.19356662367451594,-0.4734482846445762,0.4068983094044687,0.21620401349408314
0.21669897513920966,0.40548546360634086,0.4068983094044687,-0.2171872817264151
0.21669897513920966,-0.4063699419377793,0.40946857067832343,0.3335664157557544
0.22698002023462904,0.32793539140481565,0.40946857067832343,-0.3342533142854054
0.22698002023462904,-0.32872107983536014,0.42231987704759777,0.27488521462491866
0.23212054278233873,0.5390494096145728,0.42231987704759777,-0.2747817939474204
0.23212054278233873,-0.5399338879460112,0.4248901383214525,0.5208720678501387
0.25525289424703246,0.4797754690783751,0.4248901383214525,-0.5217565461815772
0.25525289424703246,-0.47967204840087696,0.4300306608691622,0.1460631838595826
0.27324472316401627,0.42386038517256197,0.4300306608691622,-0.14694766219102107
0.27324472316401627,-0.4237569644950636,0.4403117059645816,0.4412474077298466
0.27838524571172596,0.3589554202854256,0.4403117059645816,-0.4411439870523486
0.27838524571172596,-0.3590495794097148,0.45059275106000096,0.06979738036967498
0.28352576825943565,0.2821956672910497,0.45059275106000096,-0.07018790919664508
0.28352576825943565,-0.2828825658207008,0.4634440574292753,0.38385047531062877
0.29894733590256495,0.5388518298127853,0.4634440574292753,-0.3846361637411735
0.29894733590256495,-0.5389459889370747,0.46601431870313026,-0.00034344926482554605
0.3246499486411134,0.4771081417542462,0.4737251025246947,0.19466781509926456
0.3246499486411134,-0.4772023008785353,0.4737251025246947,-0.19555229343070302
0.32722020991496814,0.2286515410066845,0.4788656250724044,0.549521139109301
0.32722020991496814,-0.22854812032918614,0.4788656250724044,0.3241813751708563
0.33236073246267783,0.4084491606331506,0.4788656250724044,-0.32427553429514555
0.33236073246267783,-0.40834573995565226,0.4788656250724044,-0.5498128780353773
0.3349309937365328,0.33514705417005286,0.48143588634625933,0.25621392335601645
0.3349309937365328,-0.33524121329434187,0.48143588634625933,-0.2563080824803057
0.3580633452012265,0.2780464914535159,0.48914667016782376,0.12264997734778449
0.3580633452012265,-0.27794307077601776,0.48914667016782376,-0.1227441364720736
0.36063360647508125,0.1727364571008715,0.49428719271553345,0.49380363500527524
0.36063360647508125,-0.1735221455314162,0.49428719271553345,-0.4937002143277771
0.36577412902279094,0.5362832923895502,0.5174195441802272,0.052509147713283966
0.36577412902279094,-0.5371677707209885,0.5174195441802272,-0.052800886639360334
0.38376595793977497,0.46298118592645243,0.5199898054540821,0.4242555447761368
0.38376595793977497,0.11247461755573718,0.5199898054540821,-0.42514002310757504
0.38376595793977497,-0.11316151608538827,0.5328411118233563,-0.00034344926482554605
